Class	name	compound	medium	mass	units	cheb_name	cheb_mass	mmol_per_L	dynamic
Minerals	MgSO4 * 7 H2O + MgCl2	mg2	M7	30.386	mg	magnesium(2+)	24.305	1.2501954330384695	0
SCFAs	Acetic acid + KCH3CO2 (Potassium acetate)	ac	M7	2.6	mL	acetate	59.04402	30.0	1
Other	Hemin + Hematin	pheme	M7	1.7	mg	ferroheme b	616.487	0.002757560175640362	1
Minerals	Ammonium citrate dibasic + (NH4)6Mo7O24·4H2O	nh4	M7	1.89	g	ammonia	17.03056	110.97697315883916	1
Vitamins	Calcium Pantothenate + CaCl2 (anhydrous)	ca2	M8	31.4	mg	calcium(2+)	40.078	0.7834722291531512	0
Minerals	NiCl2 . 6H2O + NaCl + KCl + CoCl2·6H2O + FeCl3 + CaCl2 (anhydrous) + Pyridoxamine . 2 HCl + Thiamine HCl + MgCl2	cl	M8	90.34599999999999	mg	chloride	35.4527	2.5483531578694993	0
Minerals	NiCl2 . 6H2O + multiple	ni2	M8	10000.2	mg	nickel(2+)	58.6934	170.38031533358097	0
Minerals	NaCl + NaHCO3 + Na2MoO4 . 2H2O + Na2WO4 . 2H2O + Na2SeO3 (anhydrous)	na1	M8	11.41	g	sodium(1+)	22.98977	496.30770555773285	0
Minerals	K2SO4 + MnSO4 * H2O + CuSO4 (anhydrous) + MgSO4 * 7 H2O + AlK(SO4)2 (anhydrous) + ZnSO4 * 7 H2O + FeSO4 . 7H2O	so4	M8	67.22	mg	sulfate	96.0636	0.6997447524348454	1
Minerals	KCl + K2SO4 + K2HPO4 + KH2PO4 + AlK(SO4)2 (anhydrous) + KCH3CO2 (Potassium acetate) + KI	k	M8	94.199	mg	potassium(1+)	39.0983	2.4092863372576305	0
Minerals	CoCl2·6H2O + multiple + Co(NO3)2 . 6H2O	cobalt2	M8	10001.19	mg	cobalt(2+)	58.9332	169.70383417157052	0
