community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_plantarum	L_lactis	M_alaala_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_amylose300_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_anhgm_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_arab__D_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_arab__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_arbt_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_arg__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_but_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_bz_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_bzalc_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ca2_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cellb_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cgly_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_chol_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_chols_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cit_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cl_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_co2_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_coa_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cobalt2_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_crn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_csn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cu2_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cu_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_cys__L_e	1.0	0.56	1	0.56
all	minimal	L_plantarum	L_lactis	M_cytd_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_dextrin_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_dha_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_diact_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_drib_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_enter_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_etha_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_eths_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_fe2_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_fe3_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_feenter_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_fol_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_for_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_fru_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_fum_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_g3pe_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_gal_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_galt_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_gam_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_glc__D_e	1.0	0.46	1	0.46
all	minimal	L_plantarum	L_lactis	M_glcn__D_e	1.0	0.0	0	0.0
